地名,センター,燃,不燃,危険,資2,資1
大谷,センター,月 木,金,金,金,水
大和田町１・２丁目,センター,月 木,水,水,水,火
加田屋１・２丁目,センター,火 金,木,木,木,水
加田屋新田,センター,火 金,木,木,木,水
片柳（大字）、片柳１・２丁目,センター,火 金,木,木,木,水
片柳東,センター,火 金,木,木,木,水
上山口新田,センター,火 金,木,木,木,水
小深作,センター,月 木,金,金,金,火
笹丸,センター,火 金,木,木,木,水
島町、島町１～２丁目,センター,月 木,金,金,金,火
新右エ門新田,センター,火 金,木,木,木,水
染谷（大字）、染谷１～３丁目,センター,火 金,木,木,木,水
中川,センター,火 金,木,木,木,水
新堤,センター,月 木,金,金,金,水
西山新田,センター,火 金,木,木,木,水
西山村新田,センター,火 金,木,木,木,水
蓮沼,センター,月 木,水,水,水,火
春岡１～３丁目,センター,月 木,金,金,金,火
春野１～４丁目,センター,月 木,金,金,金,火
東新井,センター,火 金,木,木,木,水
東大宮１～７丁目,センター,月 木,火,火,火,金
東宮下（大字）、東宮下１～３丁目,センター,月 木,金,金,金,水
東門前,センター,月 木,金,金,金,水
膝子,センター,月 木,金,金,金,水
深作（大字）、深作１～５丁目,センター,月 木,金,金,金,火
風渡野,センター,月 木,金,金,金,水
堀崎町,センター,月 木,火,火,火,金
丸ヶ崎（大字）、丸ヶ崎町,センター,月 木,火,火,火,金
御蔵,センター,火 金,木,木,木,水
南中野,センター,火 金,月,月,月,木
南中丸,センター,火 金,月,月,月,木
宮ヶ谷塔（大字）、宮ヶ谷塔１～４丁目,センター,月 木,金,金,金,火
見山,センター,火 金,木,木,木,水
山,センター,火 金,木,木,木,水
